sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
SAMN46791993	26979	21236	78.71	20811	20206	74.9
SRR32335798	33219	29653	89.27	29266	27095	81.56
SRR32335799	19393	14439	74.45	13975	10739	55.38
SRR32335802	31324	24743	78.99	23982	19993	63.83
SRR32335803	21257	13546	63.72	12865	10213	48.05
SRR32335814	20776	17064	82.13	16684	15809	76.09
SRR32335816	32856	28516	86.79	28198	26181	79.68
SRR32335817	26043	17316	66.49	16822	15618	59.97
SRR32335818	28711	19056	66.37	18526	17807	62.02
