Accession ,BioProject,Sample_Name,Location,Marker Gene,Date,Season,Read_Count,Using?,Downloaded?
"SRR32335798	","
PRJNA1222857", CB2021_17,"	USA:Maryland, Chesapeake Bay",18S ,8/4/2021,Summer,"37,062 spots",,
SRR32335799,PRJNA1222857,CB2021_16,"	USA:Maryland, Chesapeake Bay",18S,"	2021-08-07",Summer,"24,748 spots",,
SRR32335802,PRJNA1222857,CB2021_11,"	USA:Maryland, Chesapeake Bay",18S ,8/7/2021,Summer,"40,829 spots",,
SRR32335803,PRJNA1222857,CB2021_9, Chesapeake Bay,18S ,8/6/2021,Summer,"38,011",,
SRX27670714,PRJNA1222857,CB2021_29,"	USA:Maryland, Chesapeake Bay",18S ,"	2021-08-09",Summer," 24,309 spots",,
SAMN46791993,PRJNA1222857,CB2021_27,"USA:Maryland, Chesapeake Bay",18S ,"	2021-08-09",Summer,"32,159 spots",,
SRR32335816,PRJNA1222857,CB2021_25,"USA:Maryland, Chesapeake Bay",18S ,"	2021-08-09",Summer,"34,172",,
SRR32335817,PRJNA1222857,CB2021_23,"USA:Maryland, Chesapeake Bay",18S ,"	2021-08-08",Summer,"35,737",,
"SRR32335818	",PRJNA1222857,CB2021_21,"USA:Maryland, Chesapeake Bay",18S ,8/8/2021,Summer,"40,452 spots",,
,,,,,,,,,
